Original,WithoutStopwords,Lemmatized,Stemmed
endstage,entry,fifthgrader,headset
endurance,environment,fight,heal
endure,environmental,fighter,healer
enema,envy,fighting,health
enemy,ep,figure,healthcar
energy,epic,file,healthi
engage,epicenter,filed,healthier
engagement,epidemic,filipino,healthiest
engaging,epidemics,fill,healthminut
engineer,epidural,filler,healthyeat
engineering,epilepsy,film,healthykid
england,epileptic,filter,healthyliv
english,equal,filthy,healthymama
enhancement,equipment,filtration,hear
enjoy,equipped,final,heard
enjoyed,er,finalfour,hearingimpair
enjoying,era,finally,heart
enjoys,eradicate,financial,heartbeat
enlarged,eradicated,find,heartbreak
enough,eradication,finding,heartburn
enriched,erase,fine,heartdiseas
enrique,erectile,finer,hearthealth
enroll,eric,finger,hearthealthi
enrollment,erik,finish,heartmonth
ensure,error,finished,heartwrench
enter,errors,finishing,heat
entered,errr,finâ,heatstrok
enteromedics,es,fire,heavi
enterovirus,escalator,fired,heavier
enters,escapes,firefighter,heavili
entertainer,esp,firehouse,heaâ
entire,espaãol,firm,heb
entrepreneurial,espec,firmly,hedlin
entry,especially,first,heighten
environment,essay,firstever,heimlich
environmental,essential,firstperson,helicopt
envy,est,firstresponders,hell
ep,estatic,fiscal,hellish
epic,estimate,fischer,hello
epicenter,estimates,fish,helmet
epidemic,et,fisher,helmetlik
epidemics,etc,fishing,help
epidural,ethan,fist,helpryanpush
epilepsy,ethical,fistclinching,helâ
epileptic,ethics,fistula,hemingway
equal,ethiopia,fit,henrietta
equipment,ethiopian,fitbit,henson
equipped,etiquette,fitbits,hep
er,etpt,fitby,hepa
era,eu,fitfamiles,hepat
eradicate,eunuchs,fitfamilies,her
eradicated,europe,fitfamâ,herb
eradication,european,fitfluential,herbal
erase,europes,fitfâ,herbicid
erectile,euthanasia,fitmom,herd
eric,euthanize,fitnation,here
erik,euthanizes,fitness,herecr
error,evacuates,fitquote,hereâ
errors,evacuating,fitspiration,hero
errr,evacuation,fitter,heroic
es,evacuations,fittest,heroin
escalator,evade,five,heroinoverdos
escapes,evaluate,fix,herp
esp,evaluated,fixable,hesit
espaãol,evans,fixing,hey
espec,eve,fizzle,heâ
especially,even,fizzzzzz,hi
essay,evening,fiâ,hiccup
essential,event,fl,hidden
est,events,flag,hide
estatic,ever,flame,high
estimate,everett,flaming,higher
estimates,every,flash,highest
et,everybody,flashback,highfat
etc,everyday,flatten,highfib
ethan,everymins,flavor,highli
ethical,everyone,flavored,highlight
ethics,everyones,flavoring,highpot
ethiopia,everystepcounts,flavorless,highpoverti
ethiopian,everything,flawed,highprotein
etiquette,everywhere,flesheating,highrisk
etpt,evidence,flew,hightech
eu,evidencebased,flight,hiit
eunuchs,evocative,flock,hijack
europe,evolution,flood,hike
european,evolutionary,floodhit,hill
europes,evolved,flooding,hillari
euthanasia,ew,floor,hint
euthanize,ex,florida,hip
euthanizes,exactly,floss,hipaa
evacuates,exam,flour,hippa
evacuating,examine,flow,hire
evacuation,examines,flowed,hispan
evacuations,exams,flower,histori
evade,excellence,flown,hit
evaluate,excellent,flu,hitech
evaluated,except,fluid,hiv
evans,exceptionally,fluqs,hivfre
eve,exceptions,flurelated,hivunit
even,excess,flurisk,hm
evening,exchange,fly,hmâ
event,excited,flying,hn
events,exciting,foam,ho
ever,exclusive,focus,hoarder
everett,exclusively,focused,hockey
every,exconjoined,focusing,hodgkin
everybody,excuse,fog,hoffman
everyday,excuseproof,folk,hog
everymins,excuses,follow,hold
everyone,exec,followed,holiday
everyones,execution,follower,holidaygift
everystepcounts,exemptions,following,holidayhurt
everything,exercise,food,home
everywhere,exercisers,foodborne,homeless
evidence,exercises,foodproducing,homemad
evidencebased,exercising,foodsafety,homemak
evocative,exfoliating,foot,homeopathi
evolution,exhaled,footandmouth,homer
evolutionary,exhausted,football,homey
evolved,exhaustive,footballer,homicid
ew,exhibit,footbath,honduran
ex,exhospital,footstep,honest
exactly,exhumed,force,honestli
exam,existence,forced,hong
examine,exists,forceps,honor
examines,exit,foreign,honorari
exams,exits,forest,honore
excellence,exnflers,forever,hookah
excellent,exoskeleton,forget,hop
except,expand,forgetful,hope
exceptionally,expanded,forgive,horizon
exceptions,expanding,forgiving,horizont
excess,expands,forgotten,hormon
exchange,expansion,fork,hors
excited,expect,form,horton
exciting,expectancy,formaldehyde,hospic
exclusive,expectant,formed,hospit
exclusively,expected,former,host
exconjoined,expecting,formula,hostil
excuse,expenses,forward,hot
excuseproof,expensive,foster,hotel
excuses,experience,fought,hotlin
exec,experiences,foul,hotspot
execution,experiencing,found,hottest
exemptions,experiment,foundation,hotzon
exercise,experimental,fountain,hour
exercisers,experiments,four,hous
exercises,expert,fourth,household
exercising,experts,fragment,housetohous
exfoliating,expiration,fragrant,housework
exhaled,expired,framework,houston
exhausted,explain,francais,how
exhaustive,explained,france,hpv
exhibit,explainer,francis,hr
exhospital,explaining,francisco,hrday
exhumed,explains,francoeur,hs
existence,explanation,frank,ht
exists,exploded,frankenfruit,httâ
exit,explore,frankie,htâ
exits,explored,fraternity,hub
exnflers,explosive,fraud,hubbi
exoskeleton,expose,freak,hug
expand,exposed,freaked,huge
expanded,exposes,freakouts,hulu
expanding,exposing,free,human
expands,exposure,freel,humanfactor
expansion,exposures,freeze,humanitarian
expect,express,freezing,humanlik
expectancy,expressions,french,humidifi
expectant,expro,frequent,humili
expected,exsmokers,frequently,hummu
expecting,exsoldiers,fresh,hundr
expenses,exsuper,freshen,hunger
expensive,extend,freshfruitfridays,hungergam
experience,extension,freshman,hungerstrik
experiences,extra,freud,hungri
experiencing,extract,fri,hunt
experiment,extraordinary,friday,hunter
experimental,extreme,fridge,hurri
experiments,extremely,fried,hurrican
expert,exâ,frieden,hurt
experts,eye,friend,husband
expiration,eyeburn,friendly,hvac
expired,eyelashes,friendship,hydrat
explain,eyelid,fringe,hydrocodon
explained,eyeliner,frith,hydrogen
explainer,eyes,frog,hydrospin
explaining,eyesight,front,hygien
explains,f,frontal,hype
explanation,fab,frontier,hyperbar
exploded,face,frontline,hyperplasia
explore,facebook,frostbite,hypertens
explored,faced,frostbitten,hypnosi
explosive,faces,frosty,hypothesi
expose,facetime,frozen,hypoxia
exposed,facial,frozenthemed,hyster
exposes,facilitate,fruit,hysterectomi
exposing,facility,fruitsveggies,hâ
exposure,facing,fruity,ian
exposures,fact,frustration,ibuprofen
express,factchecking,fry,ice
expressions,factor,frâ,iceland
expro,factors,ftc,icon
exsmokers,facts,ftw,icu
exsoldiers,fad,fuel,icymi
exsuper,fade,fueled,id
extend,fail,fueling,idaho
extension,failed,fukushima,idea
extra,failing,full,ideal
extract,fails,fullbody,ident
extraordinary,failure,fuller,identifi
extreme,fainting,fully,idiot
extremely,fair,fun,idol
exâ,fairing,function,idri
eye,fairytale,functional,ie
eyeburn,faith,functionally,iffsasrm
eyelashes,fake,fund,iglesia
eyelid,faked,fundamentally,ignor
eyeliner,fakes,funded,ii
eyes,faking,funding,ikaria
eyesight,fall,fundraiser,ikea
f,fallen,fundraising,ill
fab,falling,fungal,illeg
face,falls,funkhouser,illfat
facebook,false,funny,illinoi
faced,famer,fury,illnessâ
faces,families,fusion,illus
facetime,family,fuss,im
facial,familys,future,imag
facilitate,famine,fword,imagin
facility,fan,fâ,imbib
facing,fanconi,g,imf
fact,fancy,ga,immigr
factchecking,fangirling,gadget,immin
factor,fans,gaga,immun
factors,fantasies,gain,immunotherapi
facts,fantastic,gained,immuâ
fad,fantasy,gaining,imp
fade,faq,gainâ,impact
fail,faqs,gal,impair
failed,far,gallery,impal
failing,farah,game,imperfect
fails,fare,gamer,implant
failure,farm,gaming,impli
fainting,farmers,gap,import
fair,farmeâ,garbled,impos
fairing,farms,gardasil,imposs
fairytale,farmworkers,garden,impress
faith,fascinating,gardening,improv
fake,fashion,garlic,impuls
faked,fashionable,garment,inact
fakes,fast,garner,inaft
faking,faster,gas,inaug
fall,fastfood,gasp,incess
fallen,fastfoodloving,gasping,incest
falling,fasting,gastric,inch
falls,fastpaced,gastroenteritis,incid
false,fasttracks,gastrointestinal,incis
famer,fat,gate,inclin
families,fatal,gateway,includ
family,fatalities,gave,incom
familys,fatality,gay,incontin
famine,fatburning,gayblooddrive,incorpor
fan,fate,gear,increas
fanconi,fatfighting,geek,increasingli
fancy,father,gehrig,incred
fangirling,fatherhood,gellar,incub
fans,fathers,gen,incur
fantasies,fathersday,gender,independenceday
fantastic,fatherson,gene,index
fantasy,fatherâs,genentech,india
faq,fatigue,general,indian
faqs,fatman,generally,indiana
far,fats,generate,indic
farah,fattest,generation,indict
fare,fatty,generic,individu
farm,fatâ,generosity,indoor
farmers,fauja,genetic,induc
farmeâ,fault,genetically,industri
farms,fav,geneticist,industryfund
farmworkers,favorite,genetics,inexpens
fascinating,favre,geneva,infant
fashion,favs,genitals,infect
fashionable,fb,genius,infecti
fast,fbchat,genome,infertil
faster,fda,gently,infertâ
fastfood,fdas,genuinely,infest
fastfoodloving,fear,geographic,infinit
fasting,feared,geography,inflamm
fastpaced,fearing,georgia,inflammatori
fasttracks,fears,gerbil,influenc
fat,feat,germ,influenza
fatal,feature,german,info
fatalities,featured,germanwings,infograph
fatality,featuredsection,germany,infomi
fatburning,features,germiest,inform
fate,feb,gestational,infrastructur
fatfighting,february,get,ingest
father,fecal,getcovered,inglã
fatherhood,feces,getfit,ingredi
fathers,fed,getting,ingrid
fathersday,federal,gettng,ingrown
fatherson,feds,ghost,inherit
fatherâs,feed,giant,inhospit
fatigue,feedback,gift,initi
fatman,feeding,giftguide,inject
fats,feel,gilenya,injur
fattest,feeling,gillises,injuri
fatty,feels,gimmick,injuryfre
fatâ,feet,ginkgo,inlaw
fauja,felix,girl,inmat
fault,fell,give,innov
fav,fellow,giveblood,inoper
favorite,felt,given,inpati
favre,female,giver,input
favs,females,giving,insect
fb,fend,glaring,insecticid
fbchat,fentanyl,glass,insid
fda,ferment,glassexplorer,insideman
fdas,fertile,glassspecked,insidethebrain
fear,fertility,glaucoma,insideyourbrain
feared,festival,gleason,insight
fearing,festive,glimpse,insist
fears,fetal,glitch,inspect
feat,fetus,global,inspector
feature,fetuses,globalization,inspir
featured,fever,glove,instagram
featuredsection,fewer,glow,instal
features,ff,glucose,instead
feb,fiancee,glue,institut
february,fiber,gluten,instrument
fecal,fibroid,glutenfree,insur
feces,fibrosis,gmo,intak
fed,fiction,gmos,intellig
federal,fictional,go,intens
feds,fidgeting,goal,intent
feed,field,god,interact
feedback,fields,going,interdisciplinari
feeding,fiery,gold,interest
feel,fifth,golden,intermitt
feeling,fifthgrader,goldfish,intern
feels,fight,golf,internet
feet,fighter,golfer,internship
felix,fighters,gone,internâ
fell,fighting,good,interpret
fellow,fights,goodbye,interrupt
felt,figure,goody,intersect
female,figures,google,intersex
females,filed,googledoodle,interv
fend,files,gop,intervent
fentanyl,filipino,gored,interview
ferment,fill,goredforwomen,intestin
fertile,filler,gorilla,intox
fertility,film,got,intraven
festival,films,gothere,intrepid
festive,filter,goto,introduct
fetal,filters,gotten,intrus
fetus,filthy,gout,intuit
fetuses,filtration,gov,intvu
fever,final,government,invad
few,finalfour,governor,invalu
fewer,finally,gps,invas
ff,financial,gr,invent
fiancee,find,grab,invest
fiber,finding,grace,investig
fibroid,findings,gracefully,invis
fibrosis,finds,gracehopper,invisbl
fiction,fine,gracie,invit
fictional,finer,grade,involv
fidgeting,finger,gradual,inâ
field,fingers,gradually,iowa
fields,finish,graf,ipad
fiery,finished,grain,iphon
fifth,finishing,gram,iq
fifthgrader,finâ,grand,iran
fight,fire,grandma,iraq
fighter,fired,grandmother,iraqi
fighters,firefighter,grandparent,ireland
fighting,firefighters,grandparenting,ireport
fights,firehouse,grandson,ireportaward
figure,fires,granola,irish
figures,firm,grant,irishinspir
filed,firmly,granted,iron
files,firms,grapple,ironman
filipino,first,grateful,ironmanâ
fill,firstever,gratitude,irregular
filler,firstperson,grave,irrespons
film,firstresponders,gravity,isaac
films,fiscal,gray,island
filter,fischer,graze,islandâ
filters,fish,great,isnt
filthy,fisher,greater,isnât
filtration,fishing,greatgrandfather,isol
final,fistclinching,greatgrandkids,isra
finalfour,fists,greatly,israel
finally,fistula,greece,issu
financial,fit,greed,itali
find,fitbit,greek,italian
finding,fitbits,green,itchi
findings,fitby,greenpeace,item
finds,fitfamiles,greenwich,itll
fine,fitfamilies,grew,itâ
finer,fitfamâ,grief,iud
finger,fitfluential,grieving,ive
fingers,fitfâ,grill,ivf
finish,fitmom,grilling,iâ
finished,fitnation,grim,iâm
finishing,fitness,grimacing,jab
finâ,fitquote,grinding,jackson
fire,fitspiration,grocery,jacquewilsoncom
fired,fitter,groggy,jahi
firefighter,fittest,groom,jahimcmath
firefighters,five,gross,jail
firehouse,fives,ground,jame
fires,fix,groundbreaking,jami
firm,fixable,group,jampj
firmly,fixes,grow,janet
firms,fixing,growing,janney
first,fizzles,grown,januari
firstever,fizzzzzz,grows,japan
firstperson,fiâ,growth,japanes
firstresponders,fl,grt,jar
fiscal,flags,gruesome,jason
fischer,flame,gsk,jax
fish,flaming,gt,jayden
fisher,flash,guantanamo,jazzercizewhatsplayingnow
fishing,flashbacks,guess,jeanâ
fistclinching,flashes,guide,jeev
fists,flatten,guideline,jeff
fistula,flavored,guiding,jefferi
fit,flavorings,guilt,jen
fitbit,flavorless,guiltfree,jenkin
fitbits,flavors,guilty,jennif
fitby,flawed,guinea,jerri
fitfamiles,flesheating,guinness,jersey
fitfamilies,flew,guitar,jessica
fitfamâ,flight,gum,jesu
fitfluential,flights,gun,jet
fitfâ,flock,gupta,jewish
fitmom,floodhit,guru,jim
fitnation,flooding,gussone,jimbo
fitness,floods,gut,jimmi
fitquote,floors,guy,jitteri
fitspiration,florida,gyford,jlo
fitter,floss,gym,jn
fittest,flour,gyno,joan
five,flow,h,joana
fives,flowed,ha,job
fix,flowers,habanero,joe
fixable,flown,habit,jog
fixes,flows,hachi,john
fixing,flu,hack,johnson
fizzles,fluid,hacked,join
fizzzzzz,fluids,hacker,joint
fiâ,fluqs,hair,joke
fl,flurelated,hairfacâ,joli
flags,flurisk,haiti,jolt
flame,fly,half,jonah
flaming,flying,halfpound,jone
flash,foam,hall,jordan
flashbacks,focus,halleberry,josh
flashes,focused,halloween,journal
flatten,focusing,halperin,journalist
flavored,fog,halperins,journey
flavorings,folks,halt,joy
flavorless,follow,halted,joyc
flavors,followed,halting,jr
flawed,followers,hamburger,judg
flesheating,following,hand,juic
flew,food,handed,juli
flight,foodborne,handheld,jump
flights,foodproducing,handle,jumpstart
flock,foods,handsoff,junior
floodhit,foodsafety,hang,junk
flooding,foot,hanging,junkfood
floods,footandmouth,hangout,juror
floors,football,hangover,justic
florida,footballers,hangoverfree,justsay
floss,footbath,hangry,justsayhello
flour,footsteps,hantavirus,k
flow,force,happen,kailahun
flowed,forced,happened,kajillion
flowers,forceps,happening,kale
flown,foreign,happens,kali
flows,forest,happier,kamen
flu,forever,happiest,kandel
fluid,forget,happily,kansa
fluids,forgetful,happiness,kaput
fluqs,forgive,happy,kate
flurelated,forgiving,happyday,kathleen
flurisk,forgotten,happymonday,kcgoesr
fly,fork,happynewyear,keep
flying,form,happythanksgiving,kelley
foam,formaldehyde,hara,kelli
focus,formed,hard,kennedi
focused,former,hardening,kent
focusing,forms,harder,kentbrantli
fog,formula,hardest,kentucki
folks,forward,hardig,kenya
follow,foster,hardly,kept
followed,fought,hardtospot,kerri
followers,foul,hardy,ketchup
following,found,harm,kettlebel
food,foundation,harmful,kevin
foodborne,fountain,harming,kevorkian
foodproducing,four,harmon,key
foods,fourth,haroldramis,kezia
foodsafety,fragment,harried,kia
foot,fragrant,harrison,kick
footandmouth,framework,harry,kickoff
football,francais,harsh,kickstart
footballers,france,harvard,kid
footbath,francis,harvested,kidnap
footsteps,francisco,hashtag,kidney
for,francoeur,hasnt,kidshealth
force,frank,hat,kidsheâ
forced,frankenfruit,hate,kilimanjaro
forceps,frankie,havent,kill
foreign,fraternity,haveâ,killer
forest,fraud,havoc,kimmel
forever,freak,havâ,kin
forget,freaked,hawaii,kind
forgetful,freakouts,hazard,kindercar
forgive,free,hazardous,kindergarten
forgiving,freel,hazelnut,king
forgotten,freeze,hazing,kirbi
fork,freezes,hazmat,kiss
form,freezing,hca,kit
formaldehyde,french,he,kitchen
